OK,好的,OK,ButtonOK,好的
9. UPS AND DOWNS,9. 起伏波折,LevelSelectMenuLevel11Name,LevelSelectMenu,9.上下
10. THOSE WHO LIVE IN GLASS HOUSES,10. 玻璃房的住人,LevelSelectMenuLevel12Name,LevelSelectMenu,10.行走在钢丝上的人
ECHOES OF THE PAST II,旧日回响 II,LevelSelectMenuLevel13Name,LevelSelectMenu,旧日回响 II
11. PALINDROME,11. 殊途同归,LevelSelectMenuLevel14Name,LevelSelectMenu,11.殊途同归
12. HEXED,12. 蛊惑,LevelSelectMenuLevel15Name,LevelSelectMenu,12.蛊惑
13. CONVEYOR,13. 传达者,LevelSelectMenuLevel16Name,LevelSelectMenu,13.传达者
14. HYPOCENTER,14. 震源,LevelSelectMenuLevel17Name,LevelSelectMenu,14.震源
15. HANGAR,15. 机库,LevelSelectMenuLevel18Name,LevelSelectMenu,15.机库
16. MACHINE HEART,16. 机械之心,LevelSelectMenuLevel19Name,LevelSelectMenu,16.机械之心
INTRO,前奏,LevelSelectMenuLevel1Name,LevelSelectMenu,序章
ENDING,结局,LevelSelectMenuLevel20Name,LevelSelectMenu,终章
1. A RUDE AWAKENING,1. 猛然惊醒,LevelSelectMenuLevel2Name,LevelSelectMenu,1.惊醒
2. UNWELCOME GUESTS,2. 不速之客,LevelSelectMenuLevel3Name,LevelSelectMenu,2.不速之客
3. NO SHELTER,3. 无处可藏,LevelSelectMenuLevel4Name,LevelSelectMenu,3.无处可藏
4. MURKY WATERS,4. 深陷泥潭,LevelSelectMenuLevel5Name,LevelSelectMenu,4.深陷泥潭
5. GOING DOWN IN FLAMES,5. 赴汤蹈火,LevelSelectMenuLevel6Name,LevelSelectMenu,5.浴火坠落
ECHOES OF THE PAST I,旧日回响 I,LevelSelectMenuLevel7Name,LevelSelectMenu,旧日回响 I
6. HAKELDAMA,6. 血田,LevelSelectMenuLevel8Name,LevelSelectMenu,6.血之田
7. REROUTING,7. 改变路线,LevelSelectMenuLevel9Name,LevelSelectMenu,7.变更航线
CHAPTER SELECT,章节选择,LevelSelectMenuScreenTitle,LevelSelectMenu,章节选择
SPRING CLEANING,春季大扫除,MultiplayerLevelSelectMenuLevel1Name,LevelSelectMenu,大扫除
LAST STAND,背水一战,MultiplayerLevelSelectMenuLevel2Name,LevelSelectMenu,背水一战
WAVES RECORD {0},敌袭次数记录 {0},WavesAmountInfo,LevelSelectMenu,波次记录 {0}
REDEEMER,救赎者,LoadingRedeemerTitleLocalization,LoadingTips,救赎者
PRESS ANY BUTTON,按任意键,PressAnyKeyTextLocalization,LoadingTips,按下任意按键
BACK,返回,LobbyArenaBack,LobbyArena,后退
CHAT,聊天,LobbyArenaChat,LobbyArena,聊天
GO,出发,LobbyArenaGo,LobbyArena,前进
LOCAL CO-OP,本地合作,LobbyArenaLocalPlay,LobbyArena,本地多人合作
MAPS,地图,LobbyArenaMapsSelection,LobbyArena,地图
NETWORK CO-OP,联网合作,LobbyArenaNetworkPlay,LobbyArena,联网多人合作
INVITE,邀请,LobbyArenaPlayersInvited,LobbyArena,邀请
PLAYERS,玩家,LobbyArenaPlayersSelection,LobbyArena,玩家
READY,准备,LobbyArenaReady,LobbyArena,准备
SEND,发送,LobbyArenaSend,LobbyArena,发送
WAIT,等待,LobbyArenaWait,LobbyArena,等待
Please connect the controller and press 'A' button to continue the game. Or press 'B' button to exit to Main menu.,请连接控制器并按“A键”继续游戏。或按“B键”退出主菜单。,ControllerConnectOrMainMenu,MainMenu,请连接控制器并按A按钮继续游戏。或按B按钮退出主菜单。
ARENA,竞技场,MainMenuArenaButton,MainMenu,竞技场
ARENA,竞技场,MainMenuArenaScreenName,MainMenu,竞技场
BACK,返回,MainMenuBackButton,MainMenu,返回
Change profile,更改档案,MainMenuChangeProfileButton,MainMenu,改变档案
SCROLLS,卷轴,MainMenuCollectiblesButton,MainMenu,卷轴
SCROLLS,卷轴,MainMenuCollectiblesScreenName,MainMenu,卷轴
CONTINUE,继续,MainMenuContinueGameButton,MainMenu,继续
CREDITS,制作组,MainMenuCreditsButton,MainMenu,制作人员
CREDITS,制作组,MainMenuCreditsScreenName,MainMenu,制作人员
EXTRAS,额外内容,MainMenuExtrasButton,MainMenu,额外内容
EXTRAS,额外内容,MainMenuExtrasScreenName,MainMenu,额外内容
NEW GAME,新游戏,MainMenuNewGameButton,MainMenu,新游戏
EASY,容易,MainMenuNewGameEasyModeName,MainMenu,易
HARDCORE,硬核,MainMenuNewGameHardcoreModeName,MainMenu,困难
NORMAL,正常,MainMenuNewGameNormalModeName,MainMenu,正常
OPTIONS,选项,MainMenuOptionsButton,MainMenu,设置
QUIT,退出,MainMenuQuitButton,MainMenu,退出
MAIN MENU,主菜单,MainMenuScreenName,MainMenu,主菜单
Your progress will be reset,您的进度将被重置,NewGameProgressWillBeDeletedWarning,MainMenu,您的进度将被重置
Back,返回,MenuTipsBack,MenuTips,返回
Navigate,导航,MenuTipsNavigate,MenuTips,导引
Select,选择,MenuTipsSelect,MenuTips,选择
Skip,跳过,MenuTipsSkip,MenuTips,跳过
ANTI-ALIASING QUALITY,抗锯齿质量,OptionsAAQuality,Options,抗锯齿
AUTO-AIM,辅助瞄准,OptionsAutoAim,Options,辅助瞄准
BRIGHTNESS,亮度,OptionsBrighntess,Options,亮度
CHROMATIC ABBERATION,色差,OptionsChromaticAbberation,Options,色差
DEPTH OF FIELD,景深,OptionsDepthOfField,Options,景深
FULLSCREEN,全屏,OptionsFullscreen,Options,全屏
LANGUAGE,语言,OptionsLanguage,Options,语言
MASTER,总音量,OptionsMasterVolume,Options,总音量
APPLY,应用,OptionsMenuScreenApplyButton,Options,应用
BACK,返回,OptionsMenuScreenBackButton,Options,返回
OPTIONS,选项,OptionsMenuScreenName,Options,设置
MOTION BLUR,动态模糊,OptionsMotionBlur,Options,动态模糊
MUSIC,音乐,OptionsMusicVolume,Options,音乐
OUTLINES,描边,OptionsOutline,Options,描边
POSTPROCESSING,后期处理,OptionsPostProcessQuality,Options,后期处理
OVERALL QUALITY,整体画质,OptionsQuality,Options,整体画质
RESOLUTION,分辨率,OptionsResolutions,Options,分辨率
SOUNDS,音效,OptionsSFXVolume,Options,音效
SHADOWS,阴影,OptionsShadowsQuality,Options,阴影
SUBTITLES,字幕,OptionsSubtitles,Options,字幕
V-SYNC,垂直同步,OptionsVSync,Options,垂直同步
VIBRATION,震动,OptionsVibration,Options,震动
VOICE,声音,OptionsVoice,Options,声音
AVERAGE,平均,OptionsItemAverage,OptionsItems,均衡
DIFFICULTY,难度,OptionsItemDifficulty,OptionsItems,难度
EPIC,史诗,OptionsItemEpic,OptionsItems,极致
HIGH,高,OptionsItemHigh,OptionsItems,高
ENGLISH,英语,OptionsItemLanguageEnglish,OptionsItems,英语
RUSSIAN,俄语,OptionsItemLanguageRussian,OptionsItems,俄语
LOW,低,OptionsItemLow,OptionsItems,低
OFF,关,OptionsItemOff,OptionsItems,关
ON,开,OptionsItemOn,OptionsItems,开
AUDIO,音频,PauseMenuAudioSettingsScreenTitle,PauseMenu,声音
GLOSSARY,资料库,PauseMenuCodexButton,PauseMenu,资料库
GLOSSARY,资料库,PauseMenuCodexScreenTitle,PauseMenu,资料库
CONTROLS,控制,PauseMenuControlsScreenTitle,PauseMenu,控制
GAME,游戏,PauseMenuGameSettingsScreenTitle,PauseMenu,游戏
AUDIO,音频,PauseMenuGotoAudioSettingsButton,PauseMenu,声音
CONTROLS,控制,PauseMenuGotoControlsButton,PauseMenu,控制
GAME,游戏,PauseMenuGotoGameSettingsButton,PauseMenu,游戏
DISPLAY,显示,PauseMenuGotoVideoSettingsButton,PauseMenu,视频
HOW TO PLAY,游戏玩法,PauseMenuHowToPlayButton,PauseMenu,游玩方式
HOW TO PLAY,游戏玩法,PauseMenuHowToPlayScreenTitle,PauseMenu,游玩方式
OPTIONS,选项,PauseMenuOptionsButton,PauseMenu,设置
BACK,返回,PauseMenuOptionsGotoBackButton,PauseMenu,返回
MAIN MENU,主菜单,PauseMenuQuitToMainMenuButton,PauseMenu,主菜单
RESTART,重新开始,PauseMenuRestartButton,PauseMenu,重新开始
RESUME,继续游戏,PauseMenuResumeButton,PauseMenu,继续游戏
Pause menu info,PauseMenuRootScreenInfo,PauseMenuRootScreenInfo,PauseMenu,PauseMenuRootScreenInfo
PAUSE MENU,暂停菜单,PauseMenuRootScreenTitle,PauseMenu,暂停界面
Video settings info,PauseMenuVideoSettingsScreenInfo,PauseMenuVideoSettingsScreenInfo,PauseMenu,PauseMenuVideoSettingsScreenInfo
DISPLAY,显示,PauseMenuVideoSettingsScreenTitle,PauseMenu,显示
Speeds up the charge time of the CLAW STRIKE.,加快爪击的蓄力时间。,FistsPerk_Charge2_DescrID,PerksTexts,加快爪击的充电时间。
QUICK CLAW (requires CLAW STRIKE),快速爪击（需要爪击）,FistsPerk_Charge2_NameID,PerksTexts,快速爪击（需要爪击）
Hold {0} for a very powerful punch.,长按 {0} 来发动强力拳击。,FistsPerk_Charge_DescrID,PerksTexts,"""按住 {0} 以发动一次强大的拳击。"""
CLAW STRIKE,爪击,FistsPerk_Charge_NameID,PerksTexts,爪击
Adds a fifth strike to the combo.,连招追加第五次攻击。,FistsPerk_Combo_DescrID,PerksTexts,加入第五次的连续攻击。
TIGER PUNCH,虎拳,FistsPerk_Combo_NameID,PerksTexts,虎拳
Attack from a roll. Press {0} before the roll is finished.,从翻滚中发动攻击。在翻滚结束前按 {0}  。,FistsPerk_RollAttack_DescrID,PerksTexts,翻滚时发动攻击。在翻滚即将完成前按 {0} 。
POUNCE,猛扑,FistsPerk_RollAttack_NameID,PerksTexts,猛扑
Your fists strike as lightning.,你挥出的拳头犹如闪电。,FistsPerk_UberElectro_DescrID,PerksTexts,你的拳头如同闪电一般砸向敌人。
STORM TIGER,虎啸西风,FistsPerk_UberElectro_NameID,PerksTexts,虎啸西风
Speeds up the charge time of the TAIL SWEEP.,加快摆尾的蓄力时间,KicksPerk_Charge2_DescrID,PerksTexts,加快神龙摆尾的充能时间
QUICK SWEEP (requires TAIL SWEEP),快速摆尾（需要神龙摆尾）,KicksPerk_Charge2_NameID,PerksTexts,快速横扫（需要神龙摆尾）
Hold {0} to charge a roundhouse kick.,长按 {0} 来发动回旋踢击。,KicksPerk_Charge_DescrID,PerksTexts,按住 {0} 发动横扫一片的踢技。
TAIL SWEEP,神龙摆尾,KicksPerk_Charge_NameID,PerksTexts,神龙摆尾
Adds a fourth strike to the combo.,连招追加第四次攻击。,KicksPerk_Combo_DescrID,PerksTexts,加入第四次的连续攻击。
DRAGON KICK,龙踢,KicksPerk_Combo_NameID,PerksTexts,飞龙在天
Your kicks eject fire.,你的踢击会喷出火焰。,KicksPerk_DragonBreathe_DescrID,PerksTexts,你的踢击可以放射出火焰。
FLAMING DRAGON,火龙,KicksPerk_DragonBreathe_NameID,PerksTexts,火龙
Attack from a roll. Press {0} before the roll is finished.,从翻滚中发动攻击。在翻滚结束前按 {0}  。,KicksPerk_RollAttack_DescrID,PerksTexts,"""翻滚时发动攻击。在翻滚即将完成前按 {0} 。"""
SWOOP,俯冲,KicksPerk_RollAttack_NameID,PerksTexts,风雷震落
Accuracy is increased by 50%.,精度提高50%。,MachinegunPerk_Accuracy_DescrID,PerksTexts,精度提高50%。
STOCK,枪托,MachinegunPerk_Accuracy_NameID,PerksTexts,枪托
Bullets go through all targets.,子弹会穿透所有目标。,MachinegunPerk_BBBullets_DescrID,PerksTexts,子弹会穿透所有目标。
GAUSS,高斯,MachinegunPerk_BBBullets_NameID,PerksTexts,高斯弹
Shoots two bullets in a quick succession.,快速射出两发子弹。,MachinegunPerk_DoubleBullet_DescrID,PerksTexts,迅速射出俩发子弹。
HYPER BURST,超爆破,MachinegunPerk_DoubleBullet_NameID,PerksTexts,连发
Enemies can't hear your shots. Double damage on targets that aren't alarmed.,敌人听不到你的枪声。对未察觉的敌人能造成双倍伤害。,MachinegunPerk_Silencer_DescrID,PerksTexts,敌人无法听见你的枪声。对未察觉状态的敌人造成双倍伤害。
SILENCER,消音器,MachinegunPerk_Silencer_NameID,PerksTexts,消音器
Adds another strike to every weapon combo.,所有武器的连招追加一次攻击。,MeleePerk_Combo_DescrID,PerksTexts,给所有武器的连续攻击增加一次额外的打击数。
TIRELESS,不知疲倦,MeleePerk_Combo_NameID,PerksTexts,孜孜不倦
Chance to tear your target to pieces with one strike. The probability depends on the weapon type and enemy strenght.,有机会一击撕裂敌人。成功率取决于武器的类型与敌人的强度。,MeleePerk_Critical_DescrID,PerksTexts,有一定几率一击直接把敌人撕成碎片。几率取决于武器和敌人的类型。
LACERATION,撕裂伤,MeleePerk_Critical_NameID,PerksTexts,破空一击
Weapon killing blows restore 35% more health.,武器击杀能恢复多35%的生命。,MeleePerk_Executioner_DescrID,PerksTexts,武器连杀的恢复生命值效果额外增加35%。
SLAYER,屠杀者,MeleePerk_Executioner_NameID,PerksTexts,屠戮者
The last strike before breaking deals twice more damage.,武器损坏前的最后一击能多造成两倍伤害。,MeleePerk_LastChance_DescrID,PerksTexts,击飞敌人前的最后一击可以造成双倍伤害。
LAST CHANCE,最后一搏,MeleePerk_LastChance_NameID,PerksTexts,殊死一搏
Hitting more than one target costs 25% less durability.,击中复数目标时武器的耐久消耗减少25%。,MeleePerk_Thrifty_DescrID,PerksTexts,击中复数目标时武器耐久度的消耗减少25%。
SHARPENING,磨刀,MeleePerk_Thrifty_NameID,PerksTexts,磨刀霍霍
Invulnerable during rolls.,翻滚时无敌。,MonkPerk_Agility_DescrID,PerksTexts,翻滚时无敌。
TRICKSTER,骗术师,MonkPerk_Agility_NameID,PerksTexts,魔术师
Killing enemies with throwable objects restores more health.,用投掷物击杀敌人能回复更多生命。,MonkPerk_Crates_DescrID,PerksTexts,用投掷物杀死敌人可以回复更多生命值。
FENG SHUI,风水,MonkPerk_Crates_NameID,PerksTexts,风水
Killing more enemies at once restores more health.,一次性杀死越多敌人能回复越多生命。,MonkPerk_Fearless_DescrID,PerksTexts,一次性杀死越多敌人可以回复更多生命值。
FEARLESS,无畏,MonkPerk_Fearless_NameID,PerksTexts,无所畏惧
Passive regeneration threshold increases to 40%.,被动回复上限提升至40%。,MonkPerk_Harmony_DescrID,PerksTexts,被动回复的门槛提升至40%。
HARMONY,协调,MonkPerk_Harmony_NameID,PerksTexts,和谐
Parries deal damage.,招架能造成伤害。,MonkPerk_Parry_DescrID,PerksTexts,格挡造成伤害。
WING CHUN,咏春,MonkPerk_Parry_NameID,PerksTexts,咏春
Maximum ammo is increased to 18.,子弹上限提升至18。,PistolPerk_Clip_DescrID,PerksTexts,子弹上限提升至18。
MAGAZINE,弹夹,PistolPerk_Clip_NameID,PerksTexts,弹夹
10% chance to kill an enemy with one shot (5% for stronger enemies).,有10%的几率将敌人一枪毙命（强敌为5%）。,PistolPerk_ExploBullets_DescrID,PerksTexts,10%几率一枪杀死敌人（5%几率杀死更强的目标）。
HOLLOW POINTS,空尖弹,PistolPerk_ExploBullets_NameID,PerksTexts,全息瞄准
Rate of fire is increased by 35%.,射速提高35%。,PistolPerk_Rate_DescrID,PerksTexts,射速提升35%。
MECHANISM,机械装置,PistolPerk_Rate_NameID,PerksTexts,机械师
Enemies can't hear your shots. Double damage on targets that aren't alarmed.,敌人无法听到你的枪声。对未察觉的敌人造成两倍伤害。,PistolPerk_Silencer_DescrID,PerksTexts,敌人无法听见你的枪声。对未察觉状态的敌人造成双倍伤害。
SILENCER,消音器,PistolPerk_Silencer_NameID,PerksTexts,消音器
Enemies killed by plasma explode dealing damage to nearby targets.,被电磁枪射杀的敌人会爆炸并对附近目标造成伤害。,PlasmaPerk_BlastEnergy_DescrID,PerksTexts,被电磁枪杀死的敌人会爆炸并伤害附近目标。
OVERLOAD,过载,PlasmaPerk_BlastEnergy_NameID,PerksTexts,过载
Maximum ammo is increased to 100.,子弹上限提升至100。,PlasmaPerk_Clip_DescrID,PerksTexts,子弹上限提升至100。
INCREASED CAPACITY,容量提升,PlasmaPerk_Clip_NameID,PerksTexts,载弹数增幅
Plasma travel distance is doubled.,电磁枪的射击距离翻倍。,PlasmaPerk_Distance_DescrID,PerksTexts,电磁枪射击距离提升至双倍。
ENERGY STABILIZER,能量稳定器,PlasmaPerk_Distance_NameID,PerksTexts,充能线圈
Plasma bursts fly faster.,电磁枪子弹会飞得更快。,PlasmaPerk_FlySpeed_DescrID,PerksTexts,电磁枪喷射速度更快。
ACCELERATOR,加速器,PlasmaPerk_FlySpeed_NameID,PerksTexts,加速器
Accuracy is increased by 50%.,精度提升50%。,SMGPerk_Accuracy_DescrID,PerksTexts,射击精度提升50%。
STOCK,枪托,SMGPerk_Accuracy_NameID,PerksTexts,枪托
Maximum ammo is increased to 60.,子弹上限提升至60。,SMGPerk_Clip_DescrID,PerksTexts,子弹上限提升至60。
MAGAZINE,弹夹,SMGPerk_Clip_NameID,PerksTexts,杂志
Bullets ignite enemies.,子弹能燃烧敌人。,SMGPerk_Flame_DescrID,PerksTexts,子弹燃烧敌人。
INCENDIARY,燃烧弹,SMGPerk_Flame_NameID,PerksTexts,燃烧弹
Rate of fire is increased by 35%.,射速提高35%。,SMGPerk_Rate_DescrID,PerksTexts,射速提升35%。
MECHANISM,机械装置,SMGPerk_Rate_NameID,PerksTexts,机械师
Nonstop shooting.,不停地射击。,ShotgunPerk_Auto_DescrID,PerksTexts,不间断射击。
SLAM FIRE,猛烈射击,ShotgunPerk_Auto_NameID,PerksTexts,猛烈火力
Tears targets to pieces at close range. Restores additional health.,近距离射击会把敌人撕成碎片。能回复更多的生命。,ShotgunPerk_BirdShot_DescrID,PerksTexts,近距离射击会撕裂敌人。回复额外生命值。
BIRDSHOT,小号铅弹,ShotgunPerk_BirdShot_NameID,PerksTexts,小号铅弹
Pellets travel distance is doubled.,子弹射击距离翻倍。,ShotgunPerk_FlyDist_DescrID,PerksTexts,子弹射击距离加倍
BARREL,枪管,ShotgunPerk_FlyDist_NameID,PerksTexts,强化弹膛
Pellets go through the first target.,子弹会穿过第一个目标。,ShotgunPerk_Through_DescrID,PerksTexts,子弹会穿过首个目标。
PIERCING AMMO,贯通弹,ShotgunPerk_Through_NameID,PerksTexts,贯通弹
Your firearms get a laser sight.,会在你的枪上安装激光瞄准具。,SoldierPerk_Aim_DescrID,PerksTexts,你的枪械获得镭射辅助瞄准
LASER SIGHT,激光瞄准具,SoldierPerk_Aim_NameID,PerksTexts,镭射瞄准
Throwable objects deal damage in a radius.,投掷物会造成范围伤害。,SoldierPerk_Crates_DescrID,PerksTexts,投掷物一定半径内造成伤害。
DEADLY SHARDS,致命破片,SoldierPerk_Crates_NameID,PerksTexts,致命碎片
Press {0} when aiming to grab the enemy gun.,在瞄准时按 {0} 来夺取敌人的枪。,SoldierPerk_Disarm_DescrID,PerksTexts,瞄准时按下 {0} 抓取敌人的枪械
DISARM,缴械,SoldierPerk_Disarm_NameID,PerksTexts,缴械
Killing with a firearm restores health.,用枪射杀敌人能回复生命。,SoldierPerk_DoctorDeath_DescrID,PerksTexts,用枪械杀死敌人可以回复生命值。
LEAD PILLS,铅弹,SoldierPerk_DoctorDeath_NameID,PerksTexts,铅弹
A force field will automaticaly appear to protect you from enemy projectiles. Cooldown - 10 seconds.,会自动出现一片力场来保护你免受敌人的枪击。冷却10秒。,SoldierPerk_Shield_DescrID,PerksTexts,一座力场将会自动出现保护你不受敌人攻击。
FORCE MATRIX,力场矩阵,SoldierPerk_Shield_NameID,PerksTexts,力场矩阵
It was supposed to be my one thousandth’s morning of peace.I guess I need to reset that counter.,这本该是我第一千个和平的早晨。但看来我得重新数过了。,SubtitlesLocalizationComix1_1,Subtitles,这本应该是我第一千个平日。我想我得重数了。
The temple of the Vanishing Star was supposed to be unreachable by anyone who didn’t know its secret location. It has been a perfect shelter for many years.,逝星庙本该是不知道其秘密位置的人绝对无法到达的地方。这么多年来它都是个完美的庇护所。,SubtitlesLocalizationComix1_2,Subtitles,任何了解其位置的人都应该无法接触到逝星庙。 多年来它一直是一个完美的庇护所。
"It has brought me a new home, a new family and a new purpose.",它带给我新的家庭，新的亲人以及新的目标。,SubtitlesLocalizationComix1_3,Subtitles,它曾经给予了我新的家、亲人和奋斗目标。
"They say the temple was built to offer those willing the fulfillment of a simple, hard working life. A life of discipline over body - and spirit.",他们说这座庙是为那些愿意过简单勤劳生活的人建造的。是超越身体——和精神的修行生活。,SubtitlesLocalizationComix1_4,Subtitles,他们说这座寺庙的建立是为了提供地方给那些甘愿过简单而艰苦生活的人们。 超越身体——和精神的修行生活。
"Here I was no longer a soldier. No longer a tool, no longer a dog. I was a brother and a seeker of wisdom. That’s what they told me and I bought into the idea.",在这里，我不再是士兵。不再是工具，不再是走狗。我是修道之人，是智慧的探求者。这是他们跟我说的，而我也接受了这种想法。,SubtitlesLocalizationComix1_5,Subtitles,在这里，我不再是一名士兵。 不再是一种工具，不再是一只狗。 我是一个兄弟和智慧的寻求者。 这就是他们告诉我的，并且我意识到了这一点。
But it is not easy to change a man like me. I did everything asked of me but when it came down to meditation I could still hear echoes of war firing up under my skull.,但要改变我这样的人并非易事。他们让我做的每样事我都做了，可在冥想时，我依然会在脑海中听到战争的回响。,SubtitlesLocalizationComix1_6,Subtitles,但要改变像我这样的男人并不容易。 我完成了所有他们吩咐我做的事，但是到了冥想的时候，我仍然可以听到在我的脑袋萦绕的战争回响。
I am an addict you see. You can have an addict live 40 years resisting temptation then you give him a taste of his addiction and he spirals out of control.,你知道我是个有瘾的人。假如你让一个过了40年抵御诱惑生活的人去尝试一点瘾，那他很快就会失去控制。,SubtitlesLocalizationComix1_7,Subtitles,我是一个显而易见的瘾君子。 你可以选择让一位成瘾者修炼40年，度过戒断期，接着稍稍让他品尝一口疯狂，他就会晕头转向失去控制。
That’s why I hoped I would never hear another gunshot in my life.,这也就是我为什么会希望自己的余生可以永远听不到枪声的原因。,SubtitlesLocalizationComix1_8,Subtitles,这就是为何我希望我的余生再听不到一声枪响。
"Monks say that when you meditate you shouldn’t allow your past, or fears of the future, affect your awareness of the present. It’s very hard today.",僧人们说，你在冥想时，不应该让自己的过去或对未来的恐惧影响你对现在的认识。看来今天是很难办到了。,SubtitlesLocalizationComix1_9,Subtitles,僧侣说，当你打坐时，不应该让你的过去或者对未来的恐惧影响你对现在的认识。 今天非常艰难。
I guess this is how you feel right before you die. When your life starts flashing before your eyes.,人生的走马灯开始在眼前闪过，我想这就是将死之人的感觉。,SubtitlesLocalizationComix2_1,Subtitles,我想这就是将死之人的感受。 当你的人生在你眼前走马灯般浮现时。
I just wished my life revolved around something more than Berkut.,我只是希望自己的人生不要围着贝尔库特转。,SubtitlesLocalizationComix2_2,Subtitles,"""我只是希望我的生活可以围绕一些不是贝库特的东西。"""
"Still, when I saw him …part man, part toaster… I realized it could have been me.",不过，当我看到他……半边人，半边烤面包机的模样时……我意识到当初变成这样的有可能会是我。,SubtitlesLocalizationComix2_3,Subtitles,不过，当我看到他......一部分像人，一部分像面包机的时候......我意识到我当初可能也会变成这样。
"We were like twins, once. Both raised on the streets. Enjoying the simple pleasures of life like street fights and sleeping rough.",我们就像双胞胎一样。都是在街头长大的。享受着像是街头斗殴和露宿街头这样简单快乐的生活。,SubtitlesLocalizationComix2_4,Subtitles,我们像双胞胎一样。 两人都在街头长大。 享受着简单快乐的生活，像是街头的打斗和每夜的辗转反侧。
I was always a little bit stronger than him.,我总比他强那么一点点。,SubtitlesLocalizationComix2_5,Subtitles,我总是比他强一点。
I thought he was the smart one. Always agreed to everything he said. And I thought we would forever make the same choices.,我觉得他是个聪明人。所以他说的一切我都赞同。那时我还以为我们会永远做出相同的选择。,SubtitlesLocalizationComix2_6,Subtitles,我以为他是聪明人。 总是同意他所说的一切。 我认为我们会永远做出同样的选择。
He was the closest thing I ever had to family. But with all his smarts Berkut could not convince me to follow him this one last time.,他是我最接近家人的人。虽然他很聪明，但上次的事贝尔库特并没有说服我。,SubtitlesLocalizationComix2_7,Subtitles,他是我生命中最接近家人这个定义的人。 但是凭借他的所有智慧，贝库特还是无法说服我最后一次跟他走。
Now it’s clear he’s not done with me yet.,我很清楚我们之间的事还没了结。,SubtitlesLocalizationComix2_8,Subtitles,我很清楚我们之间还没了结。
Everyone wants to change something in their past. I don’t believe I do.,每个人都想改变自己的某些过去，但我不认为自己是这样的人。,SubtitlesLocalizationComix3_1,Subtitles,所有人都想改变过去，但我并非如此
Maybe I just wasn’t ready. Maybe one more year on contract would make me embrace all that cyborg nonsense?,也许我只是没准备好。也许再接触多一年我就会欣然接受那些半人半机械的鬼玩意。,SubtitlesLocalizationComix3_10,Subtitles,也许我还没准备好，可能又一年的雇佣会让我接受那些生化人什么鬼的玩意儿。
Maybe I would end up exactly like Berkut.,也许我最后会变得像贝尔库特一样,SubtitlesLocalizationComix3_11,Subtitles,也许我会和贝库特有着同样的结局。
Whatever I liked about him I is long gone now.,不管我以前喜欢他哪点，现在都已经消失无迹了。,SubtitlesLocalizationComix3_12,Subtitles,不论如何我所知道的他已经不在了。
"When I crashed in the mountains, close to the monastery… I felt it was a gift. It was fate. Someone up there wanted me saved.",当我坠机在寺庙附近的山时……我真觉得这是份礼物。是命运。是上天想让我获得拯救。,SubtitlesLocalizationComix3_13,Subtitles,当我在山中堕落不堪时，走近修道院......我感到这是一件礼物。 这是天命。 上天似乎想要拯救我。
But all it was was bringing savagery and destruction into a peaceful place.,但这一切也给这个和平的地方带来了暴虐与毁灭。,SubtitlesLocalizationComix3_14,Subtitles,但是，这只是给这个祥和的地方带来了暴虐和毁灭。
"Now I’m going to harness all of it, like the force of life. And deliver it on Volkov’s face with one final blow.",现在我要利用一切，像是生命之力。通过最后一击把它打在沃尔科夫脸上。,SubtitlesLocalizationComix3_15,Subtitles,现在我要如生命力一般凌驾于万物之上，并且用尽全力撕烂沃尔科夫的脸。
"I would drop Berkut again, without hesitation. Even quicker, knowing what I know now.",我会毫不犹豫地再次抛弃贝尔库特。而且就目前发生的事来看，甚至会比上一次更迅速。,SubtitlesLocalizationComix3_2,Subtitles,我会毫不犹豫再次抛弃贝库特。就目前的情况看，甚至比上回还要来得快。
"I can still hear Volkov's voice „You are like sons to me! It would break my heart to lose either one of you. This procedure will make you stronger, will make you invincible.”",我依然能听到沃尔科夫的声音“你们就像是我的儿子！失去你们任何一人都会让我心碎。这个手术能让你们变得更强，变得无懈可击。”,SubtitlesLocalizationComix3_3,Subtitles,我仍然可以听到沃尔科夫的声音：“你就像我的儿子！失去你们中的一个都会伤透我的心。生化改造会让你更强壮，立于不败之地。“
"Berkut didn’t care. He would have done it anyway, for kicks.",贝尔库特并不在乎。为了寻求刺激，无论什么他都会去做。,SubtitlesLocalizationComix3_4,Subtitles,"
伯库特不在乎。无论如何，他会做到这一点，仅仅为了愉悦。"
It’s funny. He was always the smarter one.,这真的很滑稽。明明他是那个更聪明的人。,SubtitlesLocalizationComix3_5,Subtitles,有趣的是，他总是那个更聪明的。
I guess we both grew up that day. And we both decided what we wanted to be.,我想那一天我们都成长了。并且都决定好各自想走的路。,SubtitlesLocalizationComix3_6,Subtitles,我猜我们都在那天成长了。与此同时我们都决定了自己要走的路。
"Volkov didn’t think that the choice was mine to make. He said.. machines are building our cars, why shouldn’t machines fight our wars?",沃尔科夫不认为这是我能做的决定。他说……既然机器能帮我们造车，那为什么机器就不能用来帮我们打仗呢？,SubtitlesLocalizationComix3_7,Subtitles,沃尔科夫不觉得这是我自己能做的决定。他说，机器制造了我们的汽车，为何他们不能去打我们的战争呢？
"Call me a snob, but I like me shit handcrafted.",就当我是自命高贵的人吧，我还是喜欢自己是个原装货。,SubtitlesLocalizationComix3_8,Subtitles,就算我自以为是吧，不过我喜欢原装产品。
